,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ъ,Ы,Ь,Э,Ю,Я
А,0.00016095734630322965,0.011385982714580635,0.06146471185135939,0.0156478533188705,0.03571853458833409,0.017964239476538718,0.02206515273452535,0.07476118828510445,0.002225410266279436,0.012036810245284999,0.07786836488330592,0.16717869764512405,0.05217817278421218,0.08628713390951398,0.0001469610553203401,0.016991497253227895,0.05468350887014941,0.06689527275272053,0.09058399524126107,0.0023233843031596627,0.010014346198257461,0.018167185695790615,0.0012666643339515028,0.013996290982889533,0.02419258896392456,0.004450820532558872,0.0,0.0,0.0,2.0994436474334302e-05,0.014353196402953218,0.044970082928024076
Б,0.06624349371588169,0.0006093690491303796,0.005458931065126317,0.000685540180271677,0.0014980322457788498,0.14409038974228766,0.00048241716389488384,5.07807540941983e-05,0.049435064110702046,0.0,0.014142440015234226,0.053548305192332106,0.002742160721086708,0.019474419195125048,0.15031103211882696,0.0,0.07713596546908721,0.005001904278278533,0.0004570267868477847,0.07020439253522914,0.0,0.006703059540434176,0.0002031230163767932,0.0013964707375904533,0.0003046845245651898,0.013660022851339342,0.00688079217976387,0.2766789386822394,0.002539037704709915,2.539037704709915e-05,0.00027929414751809065,0.029757521899200202
В,0.16632365014564143,0.00040487195924288945,0.0010121798981072236,0.0010796585579810386,0.009300808619274155,0.1336077465501535,2.249288662460497e-05,0.014991508935299212,0.09449261670996548,0.0,0.004048719592428894,0.03158001282094538,0.004037473149116592,0.03380680859678127,0.22736934444481932,0.0073776668128704296,0.019197678734100342,0.09390780165772575,0.0060280936153941315,0.024618464410630137,0.0,0.0012933409809147856,0.000371132629305982,0.001158383661167156,0.035932386382806436,0.00012371087643532733,0.00040487195924288945,0.07632961076059697,0.0049484350574130935,1.1246443312302485e-05,1.1246443312302485e-05,0.006208036708390971
Г,0.059011681809753386,0.0,0.002433710365288337,6.953458186538105e-05,0.06540886334136845,0.03224086779158168,6.953458186538105e-05,6.953458186538105e-05,0.04508158724272205,0.0,0.004844242536621546,0.09150750973484147,0.0002781383274615242,0.015946597441127388,0.5614685703689969,2.3178193955127018e-05,0.07345169664379751,0.004380678657519006,0.0005562766549230484,0.0404923048396069,0.0,0.0,9.271277582050807e-05,0.0016688299647691451,0.0004403856851474133,0.0,0.0,6.953458186538105e-05,0.00011589096977563508,0.0,0.00020860374559614314,6.953458186538105e-05
Д,0.17256296296296297,0.001288888888888889,0.03868148148148148,0.00028148148148148146,0.0010814814814814814,0.1784888888888889,0.0005629629629629629,0.0001037037037037037,0.09994074074074075,1.4814814814814815e-05,0.0073185185185185185,0.032074074074074074,0.004577777777777778,0.06795555555555556,0.14776296296296296,0.004,0.07367407407407407,0.015140740740740741,0.009185185185185185,0.06533333333333333,0.00025185185185185185,0.0017333333333333333,0.00594074074074074,0.0012740740740740742,0.0049037037037037035,1.4814814814814815e-05,0.006844444444444445,0.024444444444444446,0.01594074074074074,2.962962962962963e-05,0.0017185185185185185,0.016874074074074073
Е,0.0005577828133170647,0.021084190343385045,0.027889140665853233,0.06476555691127767,0.04897333100923828,0.03060135959560746,0.019731567021091162,0.022708732787170994,0.003444308872232874,0.04644936377897856,0.018971587937946663,0.11440822729649643,0.0743385044448318,0.13967578873975944,0.009370751263726686,0.017319156353494857,0.1231933066062402,0.07037127418511417,0.06921387484748126,0.0013526233222938817,0.00018825169949450934,0.017772354889314973,0.004120620533379815,0.01766079832665156,0.012675614432630294,0.011413630817500436,0.0,0.0,0.0,0.0,0.005068851316018825,0.006679449189471849
Ж,0.15242426771259285,0.006050237836935659,0.0,0.0015021280146874738,0.08324292748059751,0.419844780105149,0.0021280146874739212,0.0,0.15455228240006677,0.0,0.008929316531753316,0.00037553200367186846,0.0007927897855295001,0.13327213552532755,0.004172577818576316,0.0,0.0002920804473003422,0.002586998247517316,0.0,0.017441375281649,0.0,0.0,0.0,0.004548109822248185,0.0,0.0,0.0,0.0,0.004589835600433948,4.172577818576317e-05,0.003212884920303764,0.0
З,0.39150379493452697,0.012844393783535822,0.058828435597319914,0.02930301092607523,0.05015429953571131,0.017598487586532846,0.011954738802858017,0.00542133503850538,0.025855597875948735,2.7801718146181435e-05,0.009480385887847869,0.016236203397369958,0.0205176679918819,0.12363424059606884,0.047374127721093166,0.0017793099613556118,0.015263143262253608,0.01164891990325002,0.0011954738802858016,0.019906030192665906,0.0,0.0,0.00030581889960799575,0.0011676721621396203,0.0007506463899468988,0.0,0.0011676721621396203,0.04167477550112597,0.044566154188328835,0.0,0.005032110984458839,0.034807751119019154
И,0.0020703535008233264,0.010775467755447918,0.06420021762785637,0.012691748437605323,0.03994337823914027,0.0702475757604938,0.010149546929617611,0.05072847554575481,0.021387233141063295,0.032326403266343756,0.04908182229626277,0.12029235317341859,0.07604456556279912,0.07988675647828054,0.004776257378643582,0.004795516480976821,0.013327298814602252,0.07496605583213767,0.08366154053559563,0.00014444326749930186,0.0007222163374965093,0.04568259073444587,0.03026567931668705,0.032181959998844455,0.009022889443123057,0.0036784885456488873,0.0,0.0,9.629551166620123e-06,9.629551166620123e-06,0.009061407647789536,0.04786849884926864
Й,0.000197667523225934,0.005139355603874284,0.002174342755485274,0.0005930025696778019,0.08282269223166634,0.0023720102787112077,0.0,0.000197667523225934,0.000395335046451868,0.000197667523225934,0.02826645582130856,0.03735916188970152,0.020952757461949002,0.20280687882980827,0.006325360743229888,0.000395335046451868,0.008697371021941095,0.3664755880608816,0.13105356789879422,0.0,0.000395335046451868,0.000790670092903736,0.014627396718719115,0.031033801146471633,0.056335244119391184,0.000197667523225934,0.0,0.0,0.0,0.0,0.000197667523225934,0.0
